Run,Event,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
146514,282573581,5.76873,-2.81207,-1.68722,4.74593,3.27939,1.16511,-2.60118,1,22.882,12.2196,-9.1048,17.0695,15.2387,0.963831,-0.640355,1,11.8313
146514,59444807,21.2291,-7.66926,-11.6742,-15.9866,13.968,-0.979962,-2.15203,-1,3.67411,0.945886,-3.27319,1.375,3.40712,0.393344,-1.28948,-1,11.7492
146514,406745545,26.9059,-10.2769,12.9523,21.2262,16.5341,1.06853,2.24153,1,4.5655,-0.617799,4.46517,0.724175,4.5077,0.15997,1.70828,1,9.30423
146514,406989281,12.5697,-12.4044,-0.83546,-1.85154,12.4325,-0.148381,-3.07434,-1,15.6706,-11.8935,8.09366,-6.21334,14.3862,-0.419485,2.54407,1,9.45513
146514,272212529,16.5072,4.09943,12.3498,-10.157,13.0124,-0.717417,1.2503,1,7.14155,3.43218,0.627337,-6.23124,3.48904,-1.3436,0.180786,1,8.09677
146514,363966543,15.1524,11.6542,9.2676,-2.8084,14.8899,-0.18751,0.671815,1,5.71021,5.34207,-2.01692,0.0290118,5.71014,0.00508072,-0.361008,-1,9.27787
146514,435708307,34.2354,-19.1523,-9.59044,26.7073,21.4193,1.04564,-2.67735,1,18.6813,-4.51839,-2.92874,17.8885,5.38455,1.91569,-2.5665,1,9.71436
146514,313383196,36.0662,17.2778,-1.75469,-31.6097,17.3667,-1.36018,-0.101211,1,9.75655,1.14545,-4.22872,-8.71758,4.38111,-1.43907,-1.30627,1,9.91073
146514,358130941,56.0413,-14.0155,0.496716,54.2582,14.0243,2.06241,3.10617,1,11.8168,1.03024,-3.06006,11.3671,3.22883,1.97134,-1.24604,1,11.0841
146514,359708003,17.4758,12.3553,-12.2621,1.54622,17.4073,0.0887097,-0.781614,1,5.02588,-2.62984,-4.25218,-0.512204,4.99971,-0.102268,-2.12468,-1,11.7452
146514,377014174,26.2167,10.9998,-6.33865,22.9377,12.6955,1.35372,-0.522773,1,12.6659,-1.13216,-4.66506,11.7209,4.80047,1.62533,-1.80888,1,9.60097
146514,380068829,14.0602,3.18085,-1.36094,13.6279,3.45976,2.0798,-0.404286,1,67.1814,-2.31443,-18.6907,64.4875,18.8334,1.94466,-1.694,1,9.76525
146514,337463061,12.7315,3.67152,1.39514,-12.1105,3.92765,-1.84449,0.363138,-1,48.3206,28.8677,-2.62881,-38.6604,28.9871,-1.09884,-0.0908136,-1,9.45252
146514,141994869,12.0737,9.42385,-6.60807,3.6467,11.5098,0.31176,-0.611535,1,18.8855,18.5543,1.56651,3.15397,18.6203,0.168584,0.0842291,-1,10.1995
