Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GG,148031,128943239,37.6276973414,-10.9180743658,35.8051695706,-3.82333985977,37.3966,-0.101973,1.86677,-1,73.1952462586,13.4195687924,-26.2020293753,67.0141905958,29.3095,1.5612,-1.09746,1,90.4995217415
GT,148031,129280489,27.8826892477,-0.637409932078,26.9996770429,6.93140275521,27.0072,0.253913,1.5944,1,41.5405801504,-2.44279577242,-32.9354341041,25.1971935883,32.9924,0.703622,-1.64486,-1,61.1769789369
TT,148031,129280489,41.5020938228,-2.44130496902,-32.9019526443,25.1776521984,32.9924,0.703622,-1.64486,-1,27.8826892477,-0.637409932078,26.9996770429,6.93140275521,27.0072,0.253913,1.5944,1,61.1468835593
GT,148031,129280489,41.5020938228,-2.44130496902,-32.9019526443,25.1776521984,32.9924,0.703622,-1.64486,-1,27.8808876657,-0.637386330597,26.9986773214,6.92805130604,27.0072,0.253913,1.5944,1,61.1465037681
GG,148031,129280489,41.5405801504,-2.44279577242,-32.9354341041,25.1971935883,32.9924,0.703622,-1.64486,-1,27.8808876657,-0.637386330597,26.9986773214,6.92805130604,27.0072,0.253913,1.5944,1,61.1765987232
GT,148031,130228515,85.5567313999,-41.0987673268,-5.65064043952,-74.8258291701,41.4854,-1.35222,-3.00496,-1,29.8253021571,27.2823308441,11.3268636327,4.11267176337,29.6056,0.138823,0.393491,1,89.9419235424
TT,148031,130228515,29.8915221584,27.3430272161,11.351229626,4.12315193689,29.6056,0.138823,0.393491,1,85.5567313999,-41.0987673268,-5.65064043952,-74.8258291701,41.4854,-1.35222,-3.00496,-1,90.0428430174
GT,148031,130228515,29.8915221584,27.3430272161,11.351229626,4.12315193689,29.6056,0.138823,0.393491,1,84.5230057037,-40.602009554,-5.58110048429,-73.9219552437,41.4854,-1.35222,-3.00496,-1,89.4970180502
GG,148031,130228515,29.8253021571,27.2823308441,11.3268636327,4.11267176337,29.6056,0.138823,0.393491,1,84.5230057037,-40.602009554,-5.58110048429,-73.9219552437,41.4854,-1.35222,-3.00496,-1,89.396710317
GT,148031,131868616,76.6981045739,18.5412836112,37.1560404529,-64.4843976591,41.5253,-1.22375,1.10794,-1,86.4325689921,-14.8986020493,-50.8331729211,-68.297862387,53.2987,-1.072,-1.85594,1,93.7024812566
TT,148031,131868616,86.9712646803,-14.992675195,-51.1465650087,-68.7258197093,53.2987,-1.072,-1.85594,1,76.6981045739,18.5412836112,37.1560404529,-64.4843976591,41.5253,-1.22375,1.10794,-1,93.9913454618
GT,148031,131868616,86.9712646803,-14.992675195,-51.1465650087,-68.7258197093,53.2987,-1.072,-1.85594,1,76.9169766059,18.5927641323,37.2620034288,-64.6688669214,41.5253,-1.22375,1.10794,-1,94.1247657101
GG,148031,131868616,86.4325689921,-14.8986020493,-50.8331729211,-68.297862387,53.2987,-1.072,-1.85594,1,76.9169766059,18.5927641323,37.2620034288,-64.6688669214,41.5253,-1.22375,1.10794,-1,93.8354915223
GT,148031,132174429,127.507786071,2.29237147412,43.0763471561,119.989156567,43.1373,1.74701,1.51763,1,39.7440799783,5.63695170309,-32.3539141556,22.3836937064,32.8781,0.637653,-1.3983,-1,86.7485646359
TT,148031,132174429,39.7919538443,5.64326813462,-32.3901680201,22.4147042686,32.8781,0.637653,-1.3983,-1,127.507786071,2.29237147412,43.0763471561,119.989156567,43.1373,1.74701,1.51763,1,86.7938626529
GT,148031,132174429,39.7919538443,5.64326813462,-32.3901680201,22.4147042686,32.8781,0.637653,-1.3983,-1,126.431074436,2.27098546868,42.7227839754,118.972315157,43.1373,1.74701,1.51763,1,86.4315191706
GG,148031,132174429,39.7440799783,5.63695170309,-32.3539141556,22.3836937064,32.8781,0.637653,-1.3983,-1,126.431074436,2.27098546868,42.7227839754,118.972315157,43.1373,1.74701,1.51763,1,86.3864096445
GT,148031,134295681,115.538113591,38.1628061995,-12.4504016295,-108.34035375,40.1424,-1.71867,-0.315357,1,47.4441868461,-26.8996810188,30.6654520589,-24.2276064214,40.6658,-0.563641,2.29085,-1,92.3597322471
TT,148031,134295681,47.2983349371,-26.816046094,30.571342161,-24.153965192,40.6658,-0.563641,2.29085,-1,115.538113591,38.1628061995,-12.4504016295,-108.34035375,40.1424,-1.71867,-0.315357,1,92.216305319
GT,148031,134295681,47.2983349371,-26.816046094,30.571342161,-24.153965192,40.6658,-0.563641,2.29085,-1,115.164018451,38.0397586605,-12.4097109109,-107.989424567,40.1424,-1.71867,-0.315357,1,92.0669551906
GG,148031,134295681,47.4441868461,-26.8996810188,30.6654520589,-24.2276064214,40.6658,-0.563641,2.29085,-1,115.164018451,38.0397586605,-12.4097109109,-107.989424567,40.1424,-1.71867,-0.315357,1,92.2101498314
