Run,Event,E,px,py,pz,pt,eta,phi,Q,MET,phiMET,Mt
146944,377047688,45.61,31.14,-5.11,32.93,31.55,0.91,-0.16,-1,57.95,3.04,85.48
146944,377729473,54.36,8.93,41.38,34.11,42.33,0.74,1.36,-1,41.64,-1.82,83.95
146944,378621571,33.20,-0.39,33.17,-1.20,33.17,-0.04,1.58,1,62.97,-1.78,90.87
146944,379609259,78.58,30.63,-71.77,-9.23,78.03,-0.12,-1.17,1,22.00,1.37,79.15
146944,380662233,30.91,-22.26,17.50,-12.38,28.32,-0.42,2.48,1,32.95,-0.76,61.02
146944,380351647,76.91,8.19,43.20,-63.11,43.97,-1.16,1.38,-1,51.25,-1.20,91.27
146944,381259055,58.41,28.54,-34.12,-37.85,44.48,-0.77,-0.87,1,22.01,2.36,62.52
146944,381191968,61.44,-46.59,12.77,-37.97,48.30,-0.72,2.87,-1,53.70,-0.71,99.35
146944,381742961,30.74,1.03,30.70,-1.18,30.71,-0.04,1.54,-1,44.52,-1.68,73.90
146944,382679076,108.35,12.22,41.55,99.32,43.31,1.57,1.28,-1,45.67,-2.03,88.61
146944,381655325,99.90,31.67,24.38,-91.56,39.97,-1.57,0.66,1,38.27,-2.23,77.56
146944,381719120,167.12,14.68,-45.77,-160.06,48.07,-1.92,-1.26,1,44.12,1.78,91.98
146944,385957884,71.49,-17.02,-25.69,64.52,30.81,1.48,-2.16,-1,25.67,0.75,55.86
146944,386393988,138.62,27.76,30.15,132.42,40.98,1.89,0.83,1,40.02,-2.53,80.53
146944,385876128,37.47,-13.35,34.99,1.29,37.45,0.03,1.94,1,32.18,-0.97,68.93
146944,388246241,98.99,10.64,-58.93,-78.82,59.89,-1.09,-1.39,1,41.74,1.46,98.92
146944,387320018,38.53,-5.07,34.86,-15.61,35.22,-0.43,1.72,-1,35.79,-1.42,71.01
146944,388665387,49.60,-2.23,-33.96,36.09,34.03,0.92,-1.64,1,41.41,1.43,75.02
146944,388671531,72.85,3.69,-36.60,-62.88,36.78,-1.31,-1.47,1,37.34,1.60,74.08
146944,387312405,105.52,-13.55,35.51,-98.44,38.01,-1.68,1.94,-1,45.25,-1.68,80.67
146944,387431926,37.95,-27.16,-23.69,11.89,36.04,0.32,-2.42,1,43.32,0.56,78.77
146944,387520584,72.51,-49.30,8.35,-52.50,50.00,-0.92,2.97,1,33.17,-0.03,81.26
146944,389200809,34.76,-2.86,30.14,-17.09,30.27,-0.54,1.67,1,32.22,-2.54,53.88
146944,371253090,36.83,2.30,-36.24,6.19,36.31,0.17,-1.51,-1,40.41,1.75,76.48
146944,371450974,77.68,2.30,-29.18,71.96,29.27,1.63,-1.49,1,31.96,1.50,61.00
146944,371065584,64.89,-37.17,28.06,45.17,46.58,0.86,2.49,-1,31.26,-0.87,75.85
146944,371342488,35.64,16.73,19.21,24.93,25.48,0.87,0.85,1,39.65,-1.93,62.57
146944,372337970,35.10,-9.04,-33.78,3.06,34.97,0.09,-1.83,-1,42.56,1.15,76.91
146944,373010234,40.22,-22.35,32.52,7.79,39.46,0.20,2.17,1,36.04,-0.94,75.41
146944,372596869,122.53,-17.35,-31.39,117.16,35.86,1.90,-2.08,1,25.03,1.48,58.62
146944,372646885,45.84,-11.76,-41.52,15.46,43.16,0.35,-1.85,1,33.37,1.09,75.49
146944,373329337,32.92,7.50,26.76,-17.65,27.79,-0.60,1.30,-1,36.42,-1.47,62.53
146944,373363301,89.08,27.91,-35.99,76.56,45.55,1.29,-0.91,1,26.17,1.68,66.43
146944,373302942,116.66,14.04,-31.19,-111.54,34.20,-1.90,-1.15,1,30.49,2.03,64.58
146944,374234383,77.29,-44.14,-23.94,58.76,50.22,1.00,-2.64,1,29.05,0.43,76.34
146944,108469900,47.09,1.83,39.94,-24.88,39.98,-0.59,1.52,1,47.23,-1.81,86.51
146944,107557845,28.40,-23.63,-11.58,-10.70,26.31,-0.40,-2.69,1,54.83,0.50,75.95
