Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GSF-GSF,142132,125681687,99.3441813044,0.151741102904,20.9400502148,-97.1120879727,20.9406,-2.23875,1.56355,-1,24.1576259279,-12.3644214308,-16.9341526499,11.9977684142,20.9677,0.544843,-2.20147,1,88.561008461
GSF-GSF,142135,43756464,78.3452398234,35.5828255987,25.4416504412,-64.9966272046,43.7426,-1.18691,0.620721,1,45.9138436105,-32.5735808689,-22.6903798035,-23.0692333766,39.6975,-0.552573,-2.53316,-1,87.5676822349
GSF-GSF,142135,93553680,182.35112399,35.9567554583,18.3525567994,-177.826397973,40.3696,-2.18852,0.471938,1,104.993746493,-44.4846201316,-21.3451020168,-92.6778937716,49.3406,-1.38786,-2.69421,-1,96.5029685437
GSF-GSF,142135,2366596,113.743346161,-36.0257514927,27.0689688276,104.436415831,45.062,1.57728,2.49721,1,64.7246069682,1.2044402148,-48.232563995,43.1444531912,48.2476,0.804572,-1.54583,-1,91.7075564675
GSF-GSF,142136,60806414,94.666680187,-6.91211257683,-23.1812235174,91.5239526754,24.1898,2.04084,-1.86058,1,27.1572196881,3.91476705232,25.2582258871,-9.17666632753,25.5598,-0.35173,1.41703,-1,89.7033388057
GSF-GSF,142136,80453392,64.3456120207,41.9676815571,2.43391946546,-48.7149620426,42.0382,-0.989345,0.0579302,-1,39.4684253385,-38.5983599873,7.94862976739,-2.17772577472,39.4083,-0.0552325,2.9385,1,89.8228201691
GSF-GSF,142136,126243064,287.448920065,52.522324253,5.14171203215,-282.563001645,52.7734,-2.37965,0.0975848,-1,130.463889336,-37.6511352372,-15.1394009182,-123.992003676,40.5809,-1.83583,-2.75928,1,95.094888737
GSF-GSF,142136,3842487,131.454364551,-18.6333238319,-23.1810701551,128.045644942,29.7416,2.16621,-2.24786,-1,39.889024145,18.8216648032,30.8707186511,16.8486768316,36.156,0.450596,1.02328,1,91.1319164791
GSF-GSF,142137,56442637,301.194667879,-50.0521702214,-4.76843638558,-296.968466725,50.2788,-2.47628,-3.04661,-1,124.264481565,41.1546165628,6.23670873317,-117.085705268,41.6245,-1.75756,0.150399,1,97.4336092729
GSF-GSF,142137,86384176,169.202774407,-24.5887510355,35.7052833755,-163.554593113,43.3529,-2.03804,2.17387,-1,87.0270544999,16.2285951127,-24.8748535881,-81.8020939482,29.7006,-1.73772,-0.992729,1,72.5715572356
GSF-GSF,142137,128712192,82.284465704,21.8892783943,-31.5783803414,72.7626187154,38.4231,1.39507,-0.964667,-1,193.196761625,-23.8024090995,29.2123838859,189.486333679,37.6818,2.31803,2.2545,1,84.2978977836
GSF-GSF,142137,197970649,28.1994799683,26.4593074781,-5.22927174567,8.2322800616,26.9711,0.300675,-0.19512,-1,127.374560337,-33.4855454055,23.6950859533,120.588306943,41.0212,1.79919,2.52577,1,84.959896816
GSF-GSF,142137,303185216,91.8914952162,-19.1039001337,37.4384502149,-81.7156676409,42.0309,-1.41839,2.04263,1,71.9640324271,35.7303577712,-33.2962204131,-52.853809727,48.8395,-0.938316,-0.750149,-1,91.9026253101
GSF-GSF,142137,144009523,110.992971992,2.40395827932,30.3563625382,-106.73402489,30.4514,-1.96711,1.49177,1,35.7119239403,-9.50471130724,-32.3659622483,-11.723756308,33.7327,-0.340907,-1.85643,-1,86.2300491673
GSF-GSF,142137,144009523,13.7999868664,-6.48555724767,0.549093730453,12.168635113,6.50876,1.38374,3.05713,-1,35.7119239403,-9.50471130724,-32.3659622483,-11.723756308,33.7327,-0.340907,-1.85643,-1,34.3981043641
GSF-GSF,142137,144009523,13.7999868664,-6.48555724767,0.549093730453,12.168635113,6.50876,1.38374,3.05713,-1,110.992971992,2.40395827932,30.3563625382,-106.73402489,30.4514,-1.96711,1.49177,1,75.2254143191
GSF-GSF,142137,144009523,9.1612127718,-2.01415906647,1.59570184479,8.7934474506,2.56965,1.94408,2.4716,-1,35.7119239403,-9.50471130724,-32.3659622483,-11.723756308,33.7327,-0.340907,-1.85643,-1,30.4223337106
GSF-GSF,142137,144009523,9.1612127718,-2.01415906647,1.59570184479,8.7934474506,2.56965,1.94408,2.4716,-1,110.992971992,2.40395827932,30.3563625382,-106.73402489,30.4514,-1.96711,1.49177,1,61.8351440942
GSF-GSF,142137,144009523,9.1612127718,-2.01415906647,1.59570184479,8.7934474506,2.56965,1.94408,2.4716,-1,13.7999868664,-6.48555724767,0.549093730453,12.168635113,6.50876,1.38374,3.05713,-1,3.31096027463
GSF-GSF,142137,144009523,10.9480357228,-2.76219246117,1.31686658742,10.5116906882,3.06004,1.94775,2.69672,1,35.7119239403,-9.50471130724,-32.3659622483,-11.723756308,33.7327,-0.340907,-1.85643,-1,32.5754426413
