Run,Event,E,px,py,pz,pt,eta,phi,Q,MET,phiMET,Mt
146944,443941298,56.21,11.23,27.17,-47.90,29.40,-1.26,1.18,-1,30.24,-2.21,59.17
146944,443595932,71.50,52.19,-21.93,-43.68,56.61,-0.71,-0.40,-1,6.06,-2.67,33.59
146944,444511435,162.46,-18.27,28.24,158.94,33.63,2.26,2.15,1,11.04,-0.46,37.16
146944,444952411,214.20,-37.05,12.93,-210.58,39.24,-2.38,2.81,1,11.02,-2.02,27.69
146944,445903853,135.80,-6.57,-25.71,133.18,26.54,2.32,-1.82,-1,11.26,2.43,29.37
146944,446365877,37.72,-1.68,-37.67,0.98,37.70,0.03,-1.62,1,38.43,1.69,75.87
146944,446607829,49.03,24.19,35.49,23.65,42.95,0.53,0.97,1,42.93,-2.12,85.85
146944,445887816,59.40,13.16,41.17,-40.75,43.22,-0.84,1.26,-1,46.58,-2.17,88.79
146944,446160089,64.71,-61.33,-20.62,0.96,64.71,0.01,-2.82,-1,13.34,-0.23,56.48
146944,446596708,148.70,27.67,29.40,-143.12,40.37,-1.98,0.82,1,22.24,-1.68,56.83
146944,119146054,41.82,35.85,21.28,3.30,41.69,0.08,0.54,-1,40.12,-2.39,81.34
146944,118232720,153.80,5.07,-25.43,-151.60,25.93,-2.47,-1.37,-1,4.84,0.92,20.41
146944,129825388,45.10,39.70,-17.78,11.91,43.50,0.27,-0.42,-1,35.57,3.03,77.75
146944,130150965,302.00,242.52,-105.53,-145.78,264.49,-0.53,-0.41,1,39.95,0.77,114.48
146944,130593477,85.70,7.16,25.29,-81.57,26.28,-1.85,1.29,1,8.03,0.73,8.06
146944,130462399,180.99,31.91,10.09,177.86,33.47,2.37,0.31,1,8.95,-0.36,11.32
146944,129898472,50.06,49.87,1.04,4.19,49.88,0.08,0.02,1,30.08,2.92,76.92
146944,130516960,33.83,-3.73,33.59,-1.47,33.80,-0.04,1.68,-1,32.92,-1.53,66.67
146944,130049201,121.39,10.17,35.81,115.55,37.22,1.85,1.29,1,41.86,-1.96,78.81
146944,133334125,72.41,8.27,24.87,67.50,26.21,1.67,1.25,-1,32.80,-1.86,58.63
146944,133004246,162.95,-6.07,30.00,160.05,30.61,2.36,1.77,1,9.92,-2.57,28.80
146944,133459599,103.67,33.39,-2.16,98.13,33.46,1.80,-0.06,1,27.08,-2.85,59.24
146944,133719983,264.66,13.01,41.96,260.99,43.93,2.48,1.27,1,2.96,-0.35,16.51
146944,133930631,73.03,27.82,-20.37,64.38,34.48,1.38,-0.63,-1,7.96,-0.89,4.24
146944,134146551,260.81,17.99,-39.89,-257.12,43.76,-2.47,-1.15,-1,5.74,-0.31,12.93
146944,133449232,73.44,-28.70,26.99,-61.99,39.39,-1.23,2.39,-1,26.72,-0.60,64.69
146944,133474136,71.74,-10.04,-25.17,66.43,27.09,1.63,-1.95,-1,23.53,0.95,50.13
146944,133700120,52.16,24.33,36.22,28.58,43.63,0.62,0.98,1,42.60,-2.20,86.21
146944,133163314,59.65,-18.99,-25.55,-50.45,31.83,-1.24,-2.21,-1,28.93,0.97,60.68
146944,139984297,103.91,23.18,18.40,99.61,29.59,1.93,0.67,-1,7.45,2.93,26.88
146944,139091980,41.06,29.87,-20.80,-18.99,36.40,-0.50,-0.61,1,40.22,2.29,75.98
146944,139533300,51.79,26.03,-5.42,44.44,26.59,1.29,-0.21,1,30.67,2.14,52.68
146944,140108676,60.52,11.31,32.08,50.05,34.01,1.18,1.23,1,41.67,-1.86,75.27
146944,140080941,44.70,27.39,-11.00,33.57,29.52,0.98,-0.38,-1,9.84,2.54,33.88
146944,139591470,194.82,13.88,50.49,-187.65,52.36,-1.99,1.30,1,20.00,-2.00,64.51
146944,139072184,98.87,4.56,24.98,-95.55,25.39,-2.04,1.39,1,7.51,1.96,7.81
146944,140664090,73.99,39.66,-29.78,54.90,49.60,0.96,-0.64,1,32.25,2.51,79.99
146944,141100242,44.08,-28.27,-9.98,32.32,29.98,0.94,-2.80,1,17.54,-0.77,38.94
146944,141373194,78.20,-25.16,41.06,61.61,48.16,1.07,2.12,-1,27.91,-0.94,73.27
146944,140618851,125.19,23.29,-12.48,-122.37,26.42,-2.24,-0.49,-1,7.71,-1.79,17.24
146944,140426460,119.37,-26.24,17.42,-115.14,31.49,-2.01,2.56,-1,22.54,-0.59,53.28
146944,140216126,196.53,-24.67,34.50,191.90,42.42,2.21,2.19,1,28.90,-1.03,69.97
